City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount pearl,47.5166,-52.7813,0.64,90,0,6.17,CA,1683785845
1,grytviken,-54.2811,-36.5092,-2.0,78,20,5.35,GS,1683785819
2,dudinka,69.4058,86.1778,-12.43,88,50,6.57,RU,1683785857
3,volodarskiy,46.4013,48.5409,16.97,55,100,5.0,RU,1683786340
4,regina,50.4501,-104.6178,12.77,63,20,2.06,CA,1683786323
5,blackmans bay,-43.0167,147.3167,14.29,63,25,1.0,AU,1683785840
6,alofi,-19.0595,-169.9187,24.94,94,9,3.09,NU,1683785882
7,karak,31.1667,35.75,24.68,17,16,3.12,JO,1683786340
8,edinburgh of the seven seas,-37.0676,-12.3116,15.34,66,100,9.44,SH,1683785816
9,kolonia,50.9333,6.95,14.35,86,75,1.03,DE,1683786341
10,batang,-6.4846,110.7083,25.37,91,100,4.0,ID,1683786341
11,ribeira grande,38.5167,-28.7,15.99,88,20,4.47,PT,1683785825
12,kushiro,42.975,144.3747,6.53,87,75,4.12,JP,1683786341
13,hirara,24.8,125.2833,26.92,61,20,5.66,JP,1683786341
14,ballina,-28.8667,153.5667,18.9,89,25,2.88,AU,1683786201
15,cheremushki,52.8356,91.3944,17.74,37,80,0.36,RU,1683786341
16,nuuk,64.1835,-51.7216,1.34,100,100,3.09,GL,1683785716
17,labytnangi,66.6572,66.4183,-5.16,86,100,1.58,RU,1683785814
18,port-aux-francais,-49.35,70.2167,6.85,89,96,11.99,TF,1683785812
19,yellowknife,62.456,-114.3525,8.29,53,20,2.06,CA,1683785815
20,albany,42.6001,-73.9662,11.62,69,2,1.34,US,1683785813
21,kingston,17.997,-76.7936,27.53,83,20,8.23,JM,1683785840
22,tacoma,47.2529,-122.4443,14.55,73,0,1.79,US,1683786328
23,puerto natales,-51.7236,-72.4875,7.4,87,81,2.33,CL,1683785817
24,belle fourche,44.6714,-103.8522,17.96,49,62,2.88,US,1683785835
25,adamstown,-25.066,-130.1015,22.06,54,100,9.52,PN,1683785811
26,udachny,66.4167,112.4,-0.86,30,77,6.47,RU,1683785839
27,holualoa,19.6228,-155.9522,23.91,86,100,3.09,US,1683785861
28,laguna,38.421,-121.4238,13.58,79,0,3.6,US,1683785877
29,broken hill,-31.95,141.4333,19.16,30,0,1.9,AU,1683785820
30,labrador city,52.9463,-66.9114,-5.05,86,0,2.57,CA,1683785714
31,portland,45.5234,-122.6762,16.45,69,76,0.45,US,1683785852
32,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1683785834
33,wailua homesteads,22.0669,-159.378,23.24,82,100,6.17,US,1683785858
34,okha,53.5739,142.9478,1.6,84,73,2.94,RU,1683786343
35,san luis de la loma,17.2706,-100.8939,26.9,77,23,1.98,MX,1683785875
36,haiku-pauwela,20.9219,-156.3051,21.69,87,40,7.2,US,1683785883
37,i-n-salah,27.1935,2.4607,24.51,26,47,5.06,DZ,1683786344
38,ishigaki,24.3448,124.1572,27.07,61,20,5.14,JP,1683786344
39,zalingei,12.9096,23.4741,29.69,28,85,2.67,SD,1683786345
40,cidreira,-30.1811,-50.2056,14.11,83,10,4.8,BR,1683785849
41,zorritos,-3.6805,-80.6782,26.23,84,36,0.5,PE,1683786345
42,kodiak,57.79,-152.4072,5.73,93,100,6.17,US,1683785837
43,san mariano,7.5,126.0,31.17,65,95,0.26,PH,1683786346
44,visakhapatnam,17.69,83.2093,32.94,66,40,5.66,IN,1683786226
45,waitangi,-43.9535,-176.5597,11.01,88,63,0.89,NZ,1683785819
46,kenai,60.5544,-151.2583,10.05,57,100,8.23,US,1683785906
47,ormara,25.2088,64.6357,29.51,68,0,7.32,PK,1683786348
48,avarua,-21.2078,-159.775,25.03,78,75,7.2,CK,1683785859
49,bilibino,68.0546,166.4372,3.57,82,100,1.45,RU,1683785812
50,berezovyy,51.6667,135.7,15.83,28,1,3.7,RU,1683786348
51,oriximina,-1.7656,-55.8661,22.99,97,100,2.09,BR,1683786348
52,swan hill,-35.3378,143.5544,19.26,36,0,2.82,AU,1683786349
53,bereznik,62.8551,42.7072,14.34,54,80,2.1,RU,1683786073
54,geraldton,-28.7667,114.6,22.23,33,1,5.14,AU,1683786349
55,hamilton,39.1834,-84.5333,16.66,68,0,0.0,US,1683785833
56,heunghae,36.1125,129.3522,18.42,47,91,3.39,KR,1683786349
57,boguchany,58.3814,97.4531,11.1,30,49,3.09,RU,1683786349
58,margaret river,-33.95,115.0667,16.22,51,98,2.51,AU,1683785812
59,ust-nera,64.5667,143.2,7.24,56,62,3.5,RU,1683785832
60,hawaiian paradise park,19.5933,-154.9731,22.73,92,100,1.54,US,1683785816
61,whitehorse,60.7161,-135.0538,9.43,46,75,1.54,CA,1683785815
62,jamestown,42.097,-79.2353,9.77,79,0,0.89,US,1683785708
63,papatowai,-46.5619,169.4708,9.79,87,93,6.64,NZ,1683785817
64,iqaluit,63.7506,-68.5145,-9.15,86,0,7.2,CA,1683785815
65,phalaborwa,-23.943,31.1411,19.6,64,1,2.27,ZA,1683786350
66,pangody,65.85,74.4859,-9.05,80,18,5.58,RU,1683786350
67,rabo de peixe,37.8,-25.5833,15.73,94,75,3.09,PT,1683786351
68,chibougamau,49.9168,-74.3659,7.79,57,0,2.06,CA,1683785904
69,villa ojo de agua,-29.5,-63.6938,12.61,84,35,3.58,AR,1683786351
70,sinabang,2.4803,96.3801,30.23,71,91,5.45,ID,1683785874
71,talnakh,69.4865,88.3972,-12.66,82,13,5.32,RU,1683785857
72,cody,44.5263,-109.0565,9.25,77,100,2.57,US,1683785953
73,fuglafjordur,62.244,-6.814,9.26,86,40,2.9,FO,1683786351
74,calama,-22.4667,-68.9333,8.27,18,0,7.72,CL,1683786247
75,alba iulia,46.0667,23.5833,9.59,74,8,2.58,RO,1683786351
76,sisimiut,66.9395,-53.6735,-3.23,79,76,6.31,GL,1683785832
77,antsiranana,-12.2787,49.2917,27.42,74,40,4.12,MG,1683786352
78,tazovsky,67.4667,78.7,-11.07,87,26,5.66,RU,1683785817
79,bethel,41.3712,-73.414,12.31,81,0,2.06,US,1683785835
80,bredasdorp,-34.5322,20.0403,15.3,89,90,8.96,ZA,1683785705
81,punta arenas,-53.15,-70.9167,8.06,81,75,1.03,CL,1683785812
82,latakia,35.5148,35.7768,22.1,50,69,3.46,SY,1683786352
83,port mathurin,-19.6833,63.4167,25.33,76,81,8.92,MU,1683785812
84,jaca,42.569,-0.5499,7.77,77,8,2.22,ES,1683786098
85,howard springs,-12.497,131.047,31.6,44,87,4.06,AU,1683786353
86,colonia,50.9333,6.95,13.8,87,75,1.03,DE,1683785647
87,kone,-21.0595,164.8658,23.32,69,99,2.91,NC,1683785864
88,aripuana,-9.1667,-60.6333,23.56,86,100,1.13,BR,1683786353
89,anadyr,64.75,177.4833,3.28,70,0,2.0,RU,1683785829
90,ebon,4.582,168.6964,28.68,81,85,7.42,MH,1683786353
91,toliara,-23.35,43.6667,25.66,60,100,2.13,MG,1683786354
92,thompson,55.7435,-97.8558,9.09,93,20,2.57,CA,1683785821
93,keflavik,64.0049,-22.5624,6.95,100,100,2.06,IS,1683785864
94,atafu village,-8.5421,-172.5159,29.45,77,82,7.45,TK,1683785826
95,kununurra,-15.7667,128.7333,29.99,17,67,3.6,AU,1683785868
96,tecalitlan,19.4667,-103.3,20.77,79,1,0.71,MX,1683786355
97,yemetsk,63.4721,41.7941,14.22,52,98,2.53,RU,1683786355
98,naze,28.3667,129.4833,22.51,55,92,2.99,JP,1683786353
99,gadzhiyevo,69.2551,33.3362,2.4,100,100,1.92,RU,1683785875
100,sibu,2.3,111.8167,34.17,55,40,2.57,MY,1683786355
101,waingapu,-9.6567,120.2641,28.65,69,29,6.73,ID,1683785866
102,liman,48.9884,37.8023,10.28,68,100,4.97,UA,1683786355
103,olonkinbyen,70.9221,-8.7187,0.27,98,100,6.39,SJ,1683785819
104,bojnurd,37.4747,57.329,17.97,63,20,1.03,IR,1683786356
105,bowen,-20.0167,148.2333,24.71,64,18,8.07,AU,1683786356
106,muncar,-8.4333,114.3333,28.7,81,64,4.93,ID,1683786357
107,yoichi,43.2039,140.7703,7.65,62,45,3.35,JP,1683786357
108,borgarnes,64.5383,-21.9206,7.03,85,24,1.56,IS,1683786357
109,ilulissat,69.2167,-51.1,-2.99,80,100,5.66,GL,1683785831
110,constantia,44.1833,28.65,13.38,63,0,4.55,RO,1683785901
111,west island,-12.1568,96.8225,29.99,79,75,4.63,CC,1683785829
112,mbake,14.7903,-15.908,23.88,56,13,2.79,SN,1683786358
113,bonanza,14.0289,-84.591,21.99,99,19,0.66,NI,1683786358
114,tagiura,32.8817,13.3506,18.51,77,1,2.02,LY,1683786358
115,saipan,15.1355,145.701,29.8,100,12,4.47,MP,1683785837
